ASIN,Category,Product Link,No of Sellers,Rank,Rating,Reviews Count,Price,Product_Name,Description,Image_URL
B07WDDT3G5,Electronics,https://www.amazon.com/gp/offer-listing/B07WDDT3G5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,12,4.7,83773,139.99,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, includes a 1-year subscription to Amazon Kids+ content, Blue Kid-Proof Case, (2020 release)","Save up to $70 on a full-featured Fire HD 8 tablet (not a toy), 1 year of Amazon Kids+ (FreeTime Unlimited), a Kid-Proof Case with built-in stand, and 2-year worry-free guarantee, versus items purchased separately. | 2-year worry-free guarantee: if it breaks, return it and we'll replace it for free. | Includes a 1-year subscription of Amazon Kids+: the only service with thousands of ad-free books, games, videos, apps and Alexa skills from brands like Disney, Nickelodeon and PBS Kids. After 1 year, your subscription will automatically renew every month starting at just $4.99/month plus applicable tax. You may cancel any time by visiting the Amazon Parent Dashboard or contacting Customer Service. | Over 20 million kids (and their parents) have enjoyed Amazon Kids (FreeTime) service. Amazon Kids parental controls allow you to set educational goals, create time limits, and filter content. | Parents can give kids access to more apps like Netflix, Minecraft, and Zoom via the Amazon Parent Dashboard.",https://m.media-amazon.com/images/I/61YTfMukEeL._AC_SL1000_.jpg
B086DKSHQ4,Electronics,https://www.amazon.com/gp/offer-listing/B086DKSHQ4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,13,4.4,54100,249.99,"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 3 camera system","Blink Outdoor is a wireless battery-powered HD security camera that helps you monitor your home day or night with infrared night vision. | With long-lasting battery life, Outdoor runs for up to two years on two AA lithium batteries (included). | Store video clips and photos in the cloud with the Blink Subscription Plan and save events locally to the Blink Sync Module 2 via a USB flash drive (sold separately). | Outdoor is built to withstand the elements to help you protect your home inside or out, come rain or shine. | Designed so you can set up yourself in minutes. No wiring, no professional installation required.",https://m.media-amazon.com/images/I/61jUUHua5nL._SL1000_.jpg
B08YSYKH19,Electronics,https://www.amazon.com/gp/offer-listing/B08YSYKH19/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,14,4.7,267821,49.99,Echo Dot (4th Gen) | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,"This bundle contains Echo Dot (4th Gen) Twilight Blue and Sengled Bluetooth Color bulb. | Control your lights without getting up - Use your voice to control your smart light bulb by saying, ""Alexa, turn on the lights"" for a hands free experience. | Simple to set up and use - To set up your bulb, plug in and set up your Echo device, plug in your bulb, and ask, “Alexa, discover my devices."" Use your voice to name your bulb and begin using immediately. | No smart home hub required - Set up routines and schedules through the Alexa app. | Expand your Smart Home - Easily manage your smart home using your voice to turn on lights, adjust thermostats, and lock doors with compatible devices.",https://m.media-amazon.com/images/I/81dxwHCRPrS._AC_SL1500_.jpg
B084J4MZK8,Electronics,https://www.amazon.com/gp/offer-listing/B084J4MZK8/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,15,4.7,267821,44.99,Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,"Meet the Echo Dot - Our most popular smart speaker with Alexa. The sleek, compact design delivers crisp vocals and balanced bass for full sound. | Voice control your entertainment - Stream songs from Amazon Music, Apple Music, Spotify, SiriusXM, and others. Play music, audiobooks, and podcasts throughout your home with multi-room music. | Ready to help - Ask Alexa to tell a joke, play music, answer questions, play the news, check the weather, set alarms, and more. | Control your smart home - Use your voice to turn on lights, adjust thermostats, and lock doors with compatible devices. | Start Routines with your motion - Turn on compatible lights, play your Flash Briefing, or turn on the coffee maker when you walk into the room.",https://m.media-amazon.com/images/I/81BOsWnCZ4L._AC_SL1500_.jpg
B07HZLHPKP,Electronics,https://www.amazon.com/gp/offer-listing/B07HZLHPKP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,16,4.6,395830,59.99,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Charcoal","Alexa can show you more – Compact 5.5” smart display ready to help manage your day, entertain at a glance, and connect you to friends and family. | Made to fit your life – Cook along to step-by-step recipes. Easily update to-do lists and calendars. Choose the clock face that fits your style best and glance at weather and traffic on your way out. | Big entertainment – Ask Alexa to show you movie trailers, TV shows, movies, or the news. Or listen to radio stations, podcasts, and audiobooks. | Control your smart home – Voice control compatible devices or manage them on the easy-to-use display. Ask Alexa to show you security cameras, control lights, and adjust thermostats. Create morning routines to start your day. | Connect with video calling and messaging – Call friends and family who have the Alexa app, an Echo device with a screen, or Skype. Make announcements to other devices in your home.",https://m.media-amazon.com/images/I/21oVN+ZH9NL._AC_SX300_SY300_QL70_FMwebp_.jpg
B07CXG6C9W,Electronics,https://www.amazon.com/gp/offer-listing/B07CXG6C9W/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,17,4.6,110685,129.99,Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,"The thinnest, lightest Kindle Paperwhite yet—with a flush-front design and 300 ppi glare-free display that reads like real paper even in bright sunlight. | Now waterproof, so you’re free to read and relax at the beach, by the pool, or in the bath. Your Kindle has been tested to withstand accidental immersion in water. | Enjoy twice the storage with 8 GB. Or choose 32 GB to hold more magazines, comics, and audiobooks. | Now with Audible. Pair with Bluetooth headphones or speakers to listen to your story. | A single battery charge lasts weeks, not hours.",https://m.media-amazon.com/images/I/61DPHELlf0L._AC_SL1000_.jpg
B07VTK654B,Electronics,https://www.amazon.com/gp/offer-listing/B07VTK654B/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,18,4.0,116633,49.99,Echo Auto (1st gen) - Hands-free Alexa in your car with your phone,"Add Alexa to your car - Connects to the Alexa app on your phone and plays through your car’s speakers via auxiliary input or your smartphone’s Bluetooth connection. Includes Vent Mount. | Designed for the road - With 8 microphones and far-field technology, Echo Auto can hear you over music, A/C, and road noise. | Go beyond radio - Voice control Echo Auto through the Alexa app to stream from Audible, Amazon Music, Apple Music, Spotify, SiriusXM, and radio stations with TuneIn and iHeartRadio. | Just ask - Use your voice to play music, check the news, make calls, add to your to do-list, set reminders, pay for gas, and more. | Do More with Auto Mode – Turn your phone into a driver-friendly display that complements your Echo Auto. See what's playing and save time with easy-touch shortcuts to your favorite places, people, and content.",https://m.media-amazon.com/images/I/51fJVBWieiS._AC_SL1000_.jpg
B00EB4ADQW,Electronics,https://www.amazon.com/gp/offer-listing/B00EB4ADQW/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,32,19,4.8,59785,13.22,"FUJIFILM Instax Mini Instant Film Twin Pack (White), 20 Photos","Designed for use with Instax Mini line of cameras; Works well in low light | Develops instantly: Press the shutter, capture the moment, and watch the photo slide out and the image develop in front of your eyes; Hi speed, ISO 800 with superb grain quality, Instax Mini Film ensure vibrant color and natural skin tones | Credit card size 2.4"" x 1.8"" (film size): The unique credit card sized film is easy to carry in your purse or wallet and has that classic white frame that you can leave blank or personalize with fun messages | Easy to load cartridge film cartridge is designed and labeled for easy loading and filled with film for 10 credit card sized instant prints; Store in cool and dry conditions. | Instructions: To prevent fogging of unexposed film during X-ray inspection of luggage at airports, carry in hand baggage. Use at 41 - 104 degrees F (5 - 40 degrees C). Store in a cool and dry conditions. Do not freeze",https://m.media-amazon.com/images/I/61dgEk4GNlL._AC_SL1500_.jpg
B07W95GZNH,Electronics,https://www.amazon.com/gp/offer-listing/B07W95GZNH/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,20,4.7,854114,34.99,Echo Dot (3rd Gen) - Smart speaker with Alexa - Plum,"Meet Echo Dot - Our most popular smart speaker with a fabric design. It is our most compact smart speaker that fits perfectly into small spaces. | Improved speaker quality - Better speaker quality than Echo Dot Gen 2 for richer and louder sound. Pair with a second Echo Dot for stereo sound. | Voice control your music - Stream songs from Amazon Music, Apple Music, Spotify, Sirius XM, and others. | Ready to help - Ask Alexa to play music, answer questions, read the news, check the weather, set alarms, control compatible smart home devices, and more. | Voice control your smart home - Turn on lights, adjust thermostats, lock doors, and more with compatible connected devices. Create routines to start and end your day.",https://m.media-amazon.com/images/I/61nVtCU0TyL._AC_SL1000_.jpg
B07FPP6TB5,Electronics,https://www.amazon.com/gp/offer-listing/B07FPP6TB5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,21,4.6,38016,149.99,"INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32DF310NA19, 2018 Model)","Insignia HD Smart TV – Fire TV delivers 720p picture quality with deep blacks and rich colors. | Fire TV experience built-in - Watch over 1 Million streaming movies and TV episodes with access to tens of thousands of channels, apps, and Alexa skills. | Fire TV seamlessly integrates live over-the-air TV and streaming channels on a unified home screen (HD antenna required). | Easily control your TV with the included Voice Remote with Alexa—plus, launch apps, search for titles, play music, switch inputs, control smart home devices, and more, using just your voice. | Dimensions (W x H x D): TV without stand: 28.9” x 17.3” x 3”, TV with stand: 28.9” x 19” x 8.2”. Multiple device input/output options: 3 HDMI including 1 with ARC, USB, composite input, antenna/cable input, digital output (optical), audio output, Ethernet.",https://m.media-amazon.com/images/I/81lj598woRL._AC_SL1500_.jpg
